
6027;squeejee;redmine;Squeejee;Mon Jun 30 00:27:30 BRT 2008;2677;11;Ruby;0;0;0;0;0;29;6;2;12;9154;0;0;0%;0%;0%

6028;sneakin;active-matchers;Nolan Eakins;Mon Jun 30 01:02:59 BRT 2008;2677;1;Ruby;0;0;0;0;0;12;1;0;3;99;0;0;0%;0%;0%

6029;russ;ics_builder;Russ Smith;Mon Jun 30 01:06:17 BRT 2008;2677;1;Ruby;0;0;0;0;0;35;12;0;3;88;0;0;0%;0%;0%

6030;ZenCocoon;inplacericheditor;Sébastien Grosjean;Tue Jul 01 09:11:04 BRT 2008;2675;2;JavaScript;3;1;2;0;0;23;73;3;20;2096;0;0;0%;0%;0%

6031;sparklemotion;sqlite3-ruby;Sparkle Motion;Tue Jul 01 10:03:27 BRT 2008;2675;39;Ruby;167;25;142;0;9;0;0;98;262;1603;0;0;0%;0%;0%

6032;niko;representer;Niko Dittmann;Tue Jul 01 10:32:44 BRT 2008;2675;2;Ruby;0;0;0;0;0;22;17;1;1;94;0;0;0%;0%;0%

6033;dcraven;skel;null;Tue Jul 01 10:32:51 BRT 2008;2675;3;VimL;0;0;0;0;0;2;0;2;3;351;0;0;0%;0%;0%

6034;saturnflyer;has_many_polymorphs;Jim Gay;Tue Jul 01 10:35:25 BRT 2008;2675;4;Ruby;0;0;0;0;0;177;1;0;1;327;0;0;0%;0%;0%

6035;hoverbird;rubyspec;Patrick Ewing;Tue Jul 01 10:38:30 BRT 2008;2675;30;Ruby;0;0;0;0;0;321;119;0;1;1914;0;0;0%;0%;0%

6036;adulteratedjedi;textmate-configuration;Gavin-John Noonan;Tue Jul 01 10:56:49 BRT 2008;2675;1;VimL;0;0;0;0;0;11;33;0;2;3552;0;0;0%;0%;0%

6037;geoffgarside;cocoagit;Geoff Garside;Tue Jul 01 11:09:20 BRT 2008;2675;8;C;0;0;0;0;0;50;40;16;82;2300;0;0;0%;0%;0%

6038;willcodeforfoo;action_mailer_layouts;Kevin Marsh;Tue Jul 01 11:18:10 BRT 2008;2675;1;Ruby;0;0;0;0;0;35;14;0;7;88;0;0;0%;0%;0%

6039;dann;hatedaeditor;Dann;Tue Jul 01 12:07:53 BRT 2008;2675;1;Perl;0;0;0;0;0;184;163;0;3;100;0;0;0%;0%;0%

6040;vanntastic;mephisto;Vannarith Ek;Tue Jul 01 12:34:59 BRT 2008;2675;18;JavaScript;0;0;0;0;0;23;53;0;1;3654;0;0;0%;0%;0%

6041;jordanr;facebooker;null;Tue Jul 01 12:40:08 BRT 2008;2675;39;Ruby;0;0;0;0;0;2;0;0;1;1487;0;0;0%;0%;0%

6042;mando;perl-symagent;Mando Escamilla;Tue Jul 01 13:13:25 BRT 2008;2675;1;null;0;0;0;0;0;40;49;0;1;84;0;0;0%;0%;0%

6043;mojca;texshow;Mojca Miklavec;Tue Jul 01 13:19:06 BRT 2008;2675;0;null;0;0;0;0;0;11;0;0;1;56;0;0;0%;0%;0%

6044;FiXato;minitest;Filip H.F. "FiXato" Slagter;Tue Jul 01 13:23:55 BRT 2008;2675;2;Ruby;0;0;0;0;0;17;16;0;1;102;0;0;0%;0%;0%

6045;mojombo;erlang_pipe;Tom Preston-Werner;Tue Jul 01 13:40:14 BRT 2008;2675;1;Erlang;0;0;0;0;0;18587;11;2;18;77;0;0;0%;0%;0%

6046;skitzycat;beedraw;Thomas Becker;Tue Jul 01 13:54:21 BRT 2008;2675;6;Python;0;0;0;0;0;2;1;2;7;5028;0;0;0%;0%;0%

6047;bmaland;my-zsh;Bjørn Mæland;Tue Jul 01 14:07:30 BRT 2008;2675;1;null;0;0;0;0;0;29;26;0;4;196;0;0;0%;0%;0%

6048;mando;ruby-symagent;Mando Escamilla;Tue Jul 01 14:18:56 BRT 2008;2675;1;null;0;0;0;0;0;40;49;0;1;88;0;0;0%;0%;0%

6049;davewathaverford;the-omega-project;David G. Wonnacott;Tue Jul 01 14:32:12 BRT 2008;2675;7;C;3;2;1;0;0;3;0;12;24;4036;0;0;0%;0%;0%

6050;thame;station;null;Tue Jul 01 14:40:57 BRT 2008;2675;1;null;0;0;0;0;0;1;0;0;1;104;0;0;0%;0%;0%

6051;larssg;ubercart_da;Lars G. Sehested;Tue Jul 01 14:47:24 BRT 2008;2675;1;null;0;0;0;0;0;7;2;0;1;128;0;0;0%;0%;0%

6052;tsukkee;relative_number_test-vim;Takayuki Tsukitani;Tue Jul 01 14:55:44 BRT 2008;2675;1;VimL;0;0;0;0;0;42;20;0;1;84;0;0;0%;0%;0%

6053;miracle2k;fretsonfire;Michael Elsdörfer;Tue Jul 01 15:01:24 BRT 2008;2675;2;Python;0;0;0;0;0;95;7;1;1;40891;0;0;0%;0%;0%

6054;brendan;simpleconfig;Brendan Baldwin;Tue Jul 01 15:04:25 BRT 2008;2675;1;Ruby;0;0;0;0;0;30;20;0;1;100;0;0;0%;0%;0%

6055;jsgoecke;twinners_sys_scripts;Jason Goecke;Tue Jul 01 15:46:10 BRT 2008;2675;2;Ruby;0;0;0;0;0;84;5;0;5;116;0;0;0%;0%;0%

6056;hegjon;enterprisebooking-client;Jonny Heggheim;Tue Jul 01 16:06:13 BRT 2008;2675;1;Java;0;0;0;0;0;0;3;0;1;564;0;0;0%;0%;0%

6057;bmizerany;git-wiki;Blake Mizerany;Tue Jul 01 16:10:01 BRT 2008;2675;10;JavaScript;0;0;0;0;0;975;16;2;6;186;0;0;0%;0%;0%

6058;jgubman;masochism;Jon Gubman;Tue Jul 01 16:27:53 BRT 2008;2675;5;Ruby;0;0;0;0;0;4;3;0;1;84;0;0;0%;0%;0%

6059;lsaffie;attractions;Luis Saffie;Tue Jul 01 16:41:30 BRT 2008;2675;1;JavaScript;0;0;0;0;0;2;0;0;1;2112;0;0;0%;0%;0%

